,Jun-21
AliExpress,"[4000000, nan, 4.621835, 11937568]"
Alipay,"[100000, nan, 3.2563832, 66578]"
Amazon,"[5000000, nan, 4.558771, 2383103]"
Baidu,"[30000, nan, 3.5293295, 21377]"
Binance,"[2000000, nan, 4.3043675, 300640]"
Candy Crush Saga,"[11000000, 42000000, 4.5527854, 31669437]"
Clash Royale,"[3000000, 8000000, 4.21145, 31149628]"
Clash of Clans,"[3000000, 19000000, 4.502215, 56263266]"
Coinbase,"[900000, nan, 4.287672, 476777]"
Ctrip,"[5000, nan, 4.2332153, 8169]"
DiDi,"[2000000, nan, 4.033175, 505653]"
Futu,"[30000, nan, 4.3702497, 8765]"
Garena Free Fire,"[15000000, 53000000, 4.0086875, 784492]"
HTHT,"[5000, nan, 3.8, 379]"
Huobi,"[60000, nan, 3.4653466, 573]"
IBKR,"[30000, nan, 3.1895425, 1537]"
JD,"[50000, nan, 3.3688293, 14158]"
Kuaishou,"[5000, nan, 4.0289736, 324228]"
Kwai,"[10000000, 10000, 4.4832764, 3851893]"
Lazada,"[4000000, nan, 4.390303, 9353028]"
Meituan Delivery,"[5000, nan, 4.0, 55]"
Mi Health,"[2000000, nan, 4.4494467, 2020961]"
Mi Home,"[1000000, nan, 4.467563, 655147]"
OKEx,"[70000, nan, 4.292542, 102339]"
PDD,"[60000, nan, 3.253012, 2418]"
PUBG MOBILE,"[5000000, 31000000, 4.290719, 37936125]"
Qunar,"[5000, nan, 3.8922262, 5669]"
Rise of Kingdoms,"[900000, 13000000, 4.3460007, 1690802]"
Robinhood,"[300000, nan, 3.8683598, 420521]"
SHEIN,"[8000000, nan, 4.725735, 2430918]"
Shopify,"[200000, nan, 4.1364136, 18181]"
Taobao,"[300000, nan, 3.3413992, 147676]"
TikTok,"[20000000, 14000000, 4.336684, 37661061]"
Uber,"[4000000, nan, 4.355225, 8766504]"
Wechat,"[800000, 5000, 3.5440557, 6011646]"
Wecom,"[10000, nan, 2.7724137, 1448]"
Yalla,"[2000000, 700000, 4.223419, 177748]"
Yalla Ludo,"[2000000, 3000000, 4.334669, 288868]"
YouTube,"[3000000, nan, 4.404316, 116273392]"
ZOOM,"[21000000, nan, 3.9245727, 2683624]"
Zepp,"[500000, nan, 4.2431984, 412441]"
eBay,"[2000000, nan, 4.632061, 3899568]"
moomoo,"[20000, 7000, 4.5740743, 4673]"
